,state,action,reward,value
327,"(4, 7)",lower-left,1.2360679774997898,3.996732627723533
328,"(4, 7)",lower-right,-0.7639320225002102,1.2477434367990548
329,"(4, 8)",up,-0.4432736152956096,1.4260155623422344
330,"(4, 8)",down,0.16227766016837952,0.19221277473052029
331,"(4, 8)",left,0.9262096826685897,0.11562255938935723
332,"(4, 8)",right,-0.9608279654492811,-0.03866500284698287
333,"(4, 8)",upper-left,0.33385053542218923,2.338409614538139
334,"(4, 8)",upper-right,-1.3098582948312,-0.4591861611249239
335,"(4, 8)",lower-left,1.1622776601683795,21.173191138839456
336,"(4, 8)",lower-right,-0.8377223398316205,-0.21211377403661302
337,"(4, 9)",up,-0.349030329381919,-0.01758179978216863
338,"(4, 9)",down,0.12310562561766059,0.3089758712390137
339,"(4, 9)",left,0.9608279654492811,1.1816772963185156
340,"(4, 9)",upper-left,0.5175543501536715,0.2321362802812924
341,"(4, 9)",lower-left,1.1231056256176606,12.415122932031391
342,"(5, 0)",up,-0.09901951359278449,0.0009425777905105626
343,"(5, 0)",down,-0.09901951359278449,0.04046705277267564
344,"(5, 0)",right,1.0,11.328413170980667
345,"(5, 0)",upper-right,0.8768943743823394,0.6392556436075492
346,"(5, 0)",lower-right,0.8768943743823394,0.08768943743823394
347,"(5, 1)",up,-0.12310562561766059,0.026246402095849032
348,"(5, 1)",down,-0.12310562561766059,0.0643018861934905
349,"(5, 1)",left,-1.0,-0.08342139112249825
350,"(5, 1)",right,1.0,0.262801033646326
351,"(5, 1)",upper-left,-1.0990195135927845,0.8903131806621858
352,"(5, 1)",upper-right,0.8377223398316205,0.5315486288635033
353,"(5, 1)",lower-left,-1.0990195135927845,1.2295148249487848
354,"(5, 1)",lower-right,0.8377223398316205,23.193766505270702
355,"(5, 2)",up,-0.16227766016837952,-0.0333285161303784
356,"(5, 2)",down,-0.16227766016837952,2.7243896357617206
357,"(5, 2)",left,-1.0,2.430170952205197
358,"(5, 2)",right,1.0,33.93256030518111
359,"(5, 2)",upper-left,-1.1231056256176606,4.244549808527511
360,"(5, 2)",upper-right,0.7639320225002102,0.3244843673391674
361,"(5, 2)",lower-left,-1.1231056256176606,-0.12206447638235735
362,"(5, 2)",lower-right,0.7639320225002102,0.3081943895157979
